legenda, 237
lol, 1000
legenda, 285
legenda, 5115
legenda, 0
legenda, 30
legenda, 1227
<<<<<<< HEAD
legenda, 453
legenda, 16686
legenda, 30
legenda, 300
legenda, 93
legenda, 330
legenda, 72
legenda, 30
legenda, 534
=======
legenda, 132
legenda, 0
legenda, 123
legenda, 0
legenda, 0
legenda, 30
legenda, 30
legenda, 102
legenda, 156
legenda, 135
legenda, 258
legenda, 0
legenda, 0
legenda, 165
legenda, 72
legenda, 51
legenda, 42
legenda, 144
legenda, 51
legenda, 0
legenda, 135
>>>>>>> 36cd71a6a29daa95e9777fb1a707a88bdb0e560b
